date;month;year;service;type_paiment;affluence;num_month
7/1/2022;Enero;2022;Nochebús;Prepago;37;1
7/1/2022;Enero;2022;Nochebús;Gratuidad;63;1
7/1/2022;Enero;2022;Ordinario;Boleto;90772;1
7/1/2022;Enero;2022;Ordinario;Prepago;2552;1
7/1/2022;Enero;2022;Ordinario;Gratuidad;15742;1
7/1/2022;Enero;2022;S/Metro;Boleto;44107;1
7/1/2022;Enero;2022;S/Metro;Prepago;1199;1
7/1/2022;Enero;2022;S/Metro;Gratuidad;7638;1
8/1/2022;Enero;2022;Servicios Temporales;Boleto;1583;1
8/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
8/1/2022;Enero;2022;Servicios Temporales;Gratuidad;274;1
8/1/2022;Enero;2022;Atenea;Boleto;7871;1
8/1/2022;Enero;2022;Atenea;Prepago;0;1
8/1/2022;Enero;2022;Atenea;Gratuidad;1361;1
8/1/2022;Enero;2022;Ecoatenea;Boleto;0;1
8/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
8/1/2022;Enero;2022;Ecoatenea;Gratuidad;0;1
8/1/2022;Enero;2022;Ecobús;Boleto;17033;1
8/1/2022;Enero;2022;Ecobús;Prepago;724;1
8/1/2022;Enero;2022;Ecobús;Gratuidad;2962;1
8/1/2022;Enero;2022;Expdirecto;Boleto;517;1
8/1/2022;Enero;2022;Expdirecto;Prepago;32;1
8/1/2022;Enero;2022;Expdirecto;Gratuidad;94;1
8/1/2022;Enero;2022;Expreso;Boleto;36670;1
8/1/2022;Enero;2022;Expreso;Prepago;2638;1
8/1/2022;Enero;2022;Expreso;Gratuidad;6356;1
8/1/2022;Enero;2022;Nochebús;Boleto;941;1
8/1/2022;Enero;2022;Nochebús;Prepago;62;1
8/1/2022;Enero;2022;Nochebús;Gratuidad;73;1
8/1/2022;Enero;2022;Ordinario;Boleto;57132;1
8/1/2022;Enero;2022;Ordinario;Prepago;1511;1
8/1/2022;Enero;2022;Ordinario;Gratuidad;9892;1
8/1/2022;Enero;2022;S/Metro;Boleto;33708;1
8/1/2022;Enero;2022;S/Metro;Prepago;750;1
8/1/2022;Enero;2022;S/Metro;Gratuidad;5836;1
9/1/2022;Enero;2022;Servicios Temporales;Boleto;1359;1
9/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
9/1/2022;Enero;2022;Servicios Temporales;Gratuidad;235;1
9/1/2022;Enero;2022;Atenea;Boleto;4101;1
9/1/2022;Enero;2022;Atenea;Prepago;0;1
9/1/2022;Enero;2022;Atenea;Gratuidad;709;1
9/1/2022;Enero;2022;Ecoatenea;Boleto;0;1
9/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
9/1/2022;Enero;2022;Ecoatenea;Gratuidad;0;1
9/1/2022;Enero;2022;Ecobús;Boleto;11009;1
9/1/2022;Enero;2022;Ecobús;Prepago;532;1
9/1/2022;Enero;2022;Ecobús;Gratuidad;1917;1
9/1/2022;Enero;2022;Expdirecto;Boleto;0;1
9/1/2022;Enero;2022;Expdirecto;Prepago;0;1
9/1/2022;Enero;2022;Expdirecto;Gratuidad;0;1
9/1/2022;Enero;2022;Expreso;Boleto;25857;1
9/1/2022;Enero;2022;Expreso;Prepago;1821;1
9/1/2022;Enero;2022;Expreso;Gratuidad;4489;1
9/1/2022;Enero;2022;Nochebús;Boleto;807;1
9/1/2022;Enero;2022;Nochebús;Prepago;42;1
9/1/2022;Enero;2022;Nochebús;Gratuidad;61;1
9/1/2022;Enero;2022;Ordinario;Boleto;44983;1
9/1/2022;Enero;2022;Ordinario;Prepago;1061;1
9/1/2022;Enero;2022;Ordinario;Gratuidad;7792;1
9/1/2022;Enero;2022;S/Metro;Boleto;21032;1
9/1/2022;Enero;2022;S/Metro;Prepago;619;1
9/1/2022;Enero;2022;S/Metro;Gratuidad;3644;1
10/1/2022;Enero;2022;Servicios Temporales;Boleto;2030;1
10/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
10/1/2022;Enero;2022;Servicios Temporales;Gratuidad;351;1
10/1/2022;Enero;2022;Atenea;Boleto;16326;1
10/1/2022;Enero;2022;Atenea;Prepago;0;1
10/1/2022;Enero;2022;Atenea;Gratuidad;2822;1
10/1/2022;Enero;2022;Ecoatenea;Boleto;2483;1
10/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
10/1/2022;Enero;2022;Ecoatenea;Gratuidad;429;1
10/1/2022;Enero;2022;Ecobús;Boleto;23541;1
10/1/2022;Enero;2022;Ecobús;Prepago;1594;1
10/1/2022;Enero;2022;Ecobús;Gratuidad;4101;1
10/1/2022;Enero;2022;Expdirecto;Boleto;1763;1
10/1/2022;Enero;2022;Expdirecto;Prepago;260;1
10/1/2022;Enero;2022;Expdirecto;Gratuidad;309;1
10/1/2022;Enero;2022;Expreso;Boleto;73627;1
10/1/2022;Enero;2022;Expreso;Prepago;5562;1
10/1/2022;Enero;2022;Expreso;Gratuidad;12784;1
10/1/2022;Enero;2022;Nochebús;Boleto;600;1
10/1/2022;Enero;2022;Nochebús;Prepago;34;1
10/1/2022;Enero;2022;Nochebús;Gratuidad;45;1
10/1/2022;Enero;2022;Ordinario;Boleto;71949;1
10/1/2022;Enero;2022;Ordinario;Prepago;1613;1
10/1/2022;Enero;2022;Ordinario;Gratuidad;12462;1
10/1/2022;Enero;2022;S/Metro;Boleto;43453;1
10/1/2022;Enero;2022;S/Metro;Prepago;1418;1
10/1/2022;Enero;2022;S/Metro;Gratuidad;7531;1
11/1/2022;Enero;2022;Servicios Temporales;Boleto;2368;1
11/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
11/1/2022;Enero;2022;Servicios Temporales;Gratuidad;409;1
11/1/2022;Enero;2022;Atenea;Boleto;16372;1
11/1/2022;Enero;2022;Atenea;Prepago;0;1
11/1/2022;Enero;2022;Atenea;Gratuidad;2830;1
11/1/2022;Enero;2022;Ecoatenea;Boleto;1618;1
11/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
11/1/2022;Enero;2022;Ecoatenea;Gratuidad;280;1
11/1/2022;Enero;2022;Ecobús;Boleto;24182;1
11/1/2022;Enero;2022;Ecobús;Prepago;1705;1
11/1/2022;Enero;2022;Ecobús;Gratuidad;4222;1
11/1/2022;Enero;2022;Expdirecto;Boleto;1761;1
11/1/2022;Enero;2022;Expdirecto;Prepago;301;1
11/1/2022;Enero;2022;Expdirecto;Gratuidad;306;1
11/1/2022;Enero;2022;Expreso;Boleto;80540;1
11/1/2022;Enero;2022;Expreso;Prepago;6462;1
11/1/2022;Enero;2022;Expreso;Gratuidad;13993;1
11/1/2022;Enero;2022;Nochebús;Boleto;632;1
11/1/2022;Enero;2022;Nochebús;Prepago;42;1
11/1/2022;Enero;2022;Nochebús;Gratuidad;48;1
11/1/2022;Enero;2022;Ordinario;Boleto;71567;1
11/1/2022;Enero;2022;Ordinario;Prepago;1493;1
11/1/2022;Enero;2022;Ordinario;Gratuidad;12394;1
11/1/2022;Enero;2022;S/Metro;Boleto;43851;1
